student_id,company_id,group_id,fit_score,relevance_grade,rank_within_group,eligible,hard_pass
S0206,CO001,0,0.6074,3,1,1,1
S0286,CO001,0,0.5358,3,2,1,1
S0468,CO001,0,0.5233,3,3,1,1
S0119,CO001,0,0.5117,3,4,1,1
S0295,CO001,0,0.5058,3,5,1,1
S0310,CO001,0,0.49,3,6,1,1
S0578,CO001,0,0.4816,3,7,1,1
S0675,CO001,0,0.475,3,8,1,1
S0775,CO001,0,0.4625,3,9,1,1
S0479,CO001,0,0.4525,3,10,1,1
S0623,CO001,0,0.4466,3,11,1,1
S0179,CO001,0,0.4442,3,12,1,1
S0202,CO001,0,0.4392,3,13,1,1
S0317,CO001,0,0.4316,2,14,1,1
S0460,CO001,0,0.4292,2,15,0,1
S0737,CO001,0,0.4291,2,16,1,1
S0340,CO001,0,0.4242,2,17,1,1
S0171,CO001,0,0.4167,2,18,1,1
S0194,CO001,0,0.4133,2,19,1,1
S0108,CO001,0,0.4093,2,20,1,1
S0151,CO001,0,0.4083,2,21,1,1
S0200,CO001,0,0.4042,2,22,1,1
S0535,CO001,0,0.4042,2,22,1,1
S0638,CO001,0,0.4042,2,22,1,1
S0799,CO001,0,0.4008,2,25,1,1
S0738,CO001,0,0.3834,2,26,1,1
S0250,CO001,0,0.3832,2,27,1,1
S0368,CO001,0,0.3825,2,28,1,1
S0185,CO001,0,0.375,2,29,1,1
S0030,CO001,0,0.3742,2,30,1,1
S0203,CO001,0,0.3708,2,31,1,1
S0297,CO001,0,0.3708,2,31,1,1
S0773,CO001,0,0.3583,2,33,1,1
S0473,CO001,0,0.3558,2,34,0,1
S0485,CO001,0,0.3549,2,35,0,1
S0408,CO001,0,0.3541,2,36,0,1
S0010,CO001,0,0.3525,2,37,1,1
S0689,CO001,0,0.3525,2,37,1,1
S0094,CO001,0,0.3483,1,39,0,1
S0667,CO001,0,0.3442,1,40,0,1
S0232,CO001,0,0.3342,1,41,0,1
S0239,CO001,0,0.3292,1,42,0,1
S0164,CO001,0,0.3225,1,43,0,1
S0530,CO001,0,0.3108,1,44,0,1
S0601,CO001,0,0.31,1,45,0,1
S0362,CO001,0,0.3092,1,46,1,1
S0570,CO001,0,0.3092,1,46,0,1
S0624,CO001,0,0.3075,1,48,1,1
S0469,CO001,0,0.3025,1,49,0,1
S0282,CO001,0,0.2933,1,50,0,1
S0627,CO001,0,0.29,1,51,0,1
S0596,CO001,0,0.2867,1,52,0,1
S0437,CO001,0,0.2833,1,53,0,1
S0031,CO001,0,0.2792,1,54,0,1
S0684,CO001,0,0.2767,1,55,0,1
S0002,CO001,0,0.2717,0,56,0,1
S0618,CO001,0,0.2717,0,56,0,1
S0749,CO001,0,0.2692,0,58,0,1
S0426,CO001,0,0.2633,0,59,0,1
S0309,CO001,0,0.2592,0,60,0,1
S0471,CO001,0,0.2592,0,60,0,1
S0423,CO001,0,0.2575,0,62,0,1
S0045,CO001,0,0.255,0,63,0,1
S0543,CO001,0,0.2417,0,64,0,1
S0181,CO001,0,0.2367,0,65,0,1
S0097,CO001,0,0.2275,0,66,0,1
S0191,CO001,0,0.225,0,67,0,1
S0192,CO001,0,0.225,0,67,0,1
S0394,CO001,0,0.225,0,67,0,1
S0730,CO001,0,0.2242,0,70,0,1
S0275,CO001,0,0.2225,0,71,0,1
S0600,CO001,0,0.2225,0,71,0,1
S0017,CO001,0,0.2075,0,73,0,1
S0785,CO001,0,0.2075,0,73,0,1
S0147,CO001,0,0.2033,0,75,0,1
S0481,CO001,0,0.1992,0,76,0,1
S0058,CO001,0,0.1875,0,77,0,1
S0550,CO001,0,0.1792,0,78,0,1
S0292,CO001,0,0.1708,0,79,0,1
S0227,CO001,0,0.1667,0,80,0,1
S0146,CO001,0,0.1617,0,81,0,1
S0403,CO001,0,0.1583,0,82,0,1
S0229,CO001,0,0.145,0,83,0,1
S0425,CO001,0,0.1292,0,84,0,1
S0195,CO001,0,0.06,0,85,0,1
S0251,CO001,0,0.0125,0,86,0,1
S0655,CO001,0,0.0125,0,86,0,1
S0001,CO001,0,0.0,0,88,0,0
S0003,CO001,0,0.0,0,88,0,0
S0004,CO001,0,0.0,0,88,0,0
S0005,CO001,0,0.0,0,88,0,0
S0006,CO001,0,0.0,0,88,0,0
S0007,CO001,0,0.0,0,88,0,0
S0008,CO001,0,0.0,0,88,0,0
S0009,CO001,0,0.0,0,88,0,0
S0011,CO001,0,0.0,0,88,0,0
S0012,CO001,0,0.0,0,88,0,0
S0013,CO001,0,0.0,0,88,0,0
S0014,CO001,0,0.0,0,88,0,0
S0015,CO001,0,0.0,0,88,0,0
