cert_id,student_id,cert_name,issuing_body,tier,domain,year_obtained
RW-CERT-SRM_STA_001-01,SRM_STA_001,Tableau Certified Data Analyst,Issuer,Global_Standard,Data,2022
RW-CERT-SRM_STA_001-02,SRM_STA_001,Oracle Certified Professional: Java SE 11,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_001-03,SRM_STA_001,NPTEL - Machine Learning,NPTEL,National,Cloud,2024
RW-CERT-SRM_STA_001-04,SRM_STA_001,AWS Certified Cloud Practitioner,Issuer,National,AI,2026
RW-CERT-SRM_STA_001_V2-01,SRM_STA_001_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_001_V2-02,SRM_STA_001_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,Data,2026
RW-CERT-SRM_STA_001_V2-03,SRM_STA_001_V2,NPTEL - Machine Learning,NPTEL,Global_Standard,Cloud,2026
RW-CERT-SRM_STA_001_V2-04,SRM_STA_001_V2,AWS Certified Cloud Practitioner,Issuer,Global_Premium,Web,2025
RW-CERT-SRM_STA_002-01,SRM_STA_002,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,AI,2022
RW-CERT-SRM_STA_002-02,SRM_STA_002,Oracle Certified Professional: Java SE 11,Issuer,National,AI,2023
RW-CERT-SRM_STA_002-03,SRM_STA_002,GitHub Actions Certification,Issuer,Global_Premium,Web,2024
RW-CERT-SRM_STA_002-04,SRM_STA_002,Microsoft Certified: Azure Fundamentals,Issuer,Global_Premium,AI,2022
RW-CERT-SRM_STA_002_V2-01,SRM_STA_002_V2,Google Cloud Certified: Cloud Engineer,Issuer,Local,Web,2022
RW-CERT-SRM_STA_002_V2-02,SRM_STA_002_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,AI,2022
RW-CERT-SRM_STA_002_V2-03,SRM_STA_002_V2,GitHub Actions Certification,Issuer,Local,Web,2024
RW-CERT-SRM_STA_002_V2-04,SRM_STA_002_V2,Microsoft Certified: Azure Fundamentals,Issuer,Local,Web,2024
RW-CERT-SRM_STA_003-01,SRM_STA_003,GitHub Actions Certification,Issuer,National,Cloud,2026
RW-CERT-SRM_STA_003_V2-01,SRM_STA_003_V2,GitHub Actions Certification,Issuer,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_004-01,SRM_STA_004,Unity Certified Associate,Issuer,National,Web,2025
RW-CERT-SRM_STA_004_V2-01,SRM_STA_004_V2,Unity Certified Associate,Issuer,Local,Web,2026
RW-CERT-SRM_STA_005-01,SRM_STA_005,AWS Certified Developer - Associate,AWS Certified Developer,Local,Data,2022
RW-CERT-SRM_STA_005_V2-01,SRM_STA_005_V2,AWS Certified Developer - Associate,AWS Certified Developer,National,Data,2026
RW-CERT-SRM_STA_006-01,SRM_STA_006,CCNA,Issuer,Global_Standard,Data,2023
RW-CERT-SRM_STA_006_V2-01,SRM_STA_006_V2,CCNA,Issuer,Local,Web,2025
RW-CERT-SRM_STA_007-01,SRM_STA_007,Docker Certified Associate,Issuer,Global_Standard,AI,2022
RW-CERT-SRM_STA_007_V2-01,SRM_STA_007_V2,Docker Certified Associate,Issuer,National,Programming,2023
RW-CERT-SRM_STA_008-01,SRM_STA_008,MongoDB Associate Developer,Issuer,Global_Standard,Data,2025
RW-CERT-SRM_STA_008-02,SRM_STA_008,GitHub Actions Certification,Issuer,Local,Web,2023
RW-CERT-SRM_STA_008-03,SRM_STA_008,NPTEL - Machine Learning,NPTEL,National,Programming,2026
RW-CERT-SRM_STA_008_V2-01,SRM_STA_008_V2,MongoDB Associate Developer,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_008_V2-02,SRM_STA_008_V2,GitHub Actions Certification,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_008_V2-03,SRM_STA_008_V2,NPTEL - Machine Learning,NPTEL,National,AI,2023
RW-CERT-SRM_STA_009-01,SRM_STA_009,Unity Certified Associate,Issuer,National,Web,2026
RW-CERT-SRM_STA_009-02,SRM_STA_009,MongoDB Associate Developer,Issuer,National,Programming,2025
RW-CERT-SRM_STA_009-03,SRM_STA_009,Tableau Certified Data Analyst,Issuer,Global_Premium,Cloud,2026
RW-CERT-SRM_STA_009_V2-01,SRM_STA_009_V2,Unity Certified Associate,Issuer,Global_Premium,Cloud,2025
RW-CERT-SRM_STA_009_V2-02,SRM_STA_009_V2,MongoDB Associate Developer,Issuer,National,Data,2025
RW-CERT-SRM_STA_009_V2-03,SRM_STA_009_V2,Tableau Certified Data Analyst,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_010-01,SRM_STA_010,Docker Certified Associate,Issuer,Global_Standard,Web,2025
RW-CERT-SRM_STA_010-02,SRM_STA_010,CompTIA Security+,Issuer,Global_Standard,Programming,2022
RW-CERT-SRM_STA_010-03,SRM_STA_010,Unity Certified Associate,Issuer,Global_Standard,Data,2025
RW-CERT-SRM_STA_010_V2-01,SRM_STA_010_V2,Docker Certified Associate,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_010_V2-02,SRM_STA_010_V2,CompTIA Security+,Issuer,Global_Standard,Data,2025
RW-CERT-SRM_STA_010_V2-03,SRM_STA_010_V2,Unity Certified Associate,Issuer,Global_Premium,AI,2024
RW-CERT-SRM_STA_011-01,SRM_STA_011,Tableau Certified Data Analyst,Issuer,Global_Standard,Data,2025
RW-CERT-SRM_STA_011_V2-01,SRM_STA_011_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,Cloud,2025
RW-CERT-SRM_STA_012-01,SRM_STA_012,MongoDB Associate Developer,Issuer,Global_Standard,Web,2025
RW-CERT-SRM_STA_012-02,SRM_STA_012,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Data,2025
RW-CERT-SRM_STA_012-03,SRM_STA_012,Google Cloud Certified: Cloud Engineer,Issuer,Local,Data,2026
RW-CERT-SRM_STA_012_V2-01,SRM_STA_012_V2,MongoDB Associate Developer,Issuer,Local,AI,2025
RW-CERT-SRM_STA_012_V2-02,SRM_STA_012_V2,AWS Certified Developer - Associate,AWS Certified Developer,Local,Programming,2023
RW-CERT-SRM_STA_012_V2-03,SRM_STA_012_V2,Google Cloud Certified: Cloud Engineer,Issuer,Local,AI,2024
RW-CERT-SRM_STA_013-01,SRM_STA_013,Unity Certified Associate,Issuer,National,Data,2026
RW-CERT-SRM_STA_013-02,SRM_STA_013,AWS Certified Cloud Practitioner,Issuer,Global_Standard,Data,2023
RW-CERT-SRM_STA_013-03,SRM_STA_013,Oracle Certified Professional: Java SE 11,Issuer,National,Web,2026
RW-CERT-SRM_STA_013_V2-01,SRM_STA_013_V2,Unity Certified Associate,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_013_V2-02,SRM_STA_013_V2,AWS Certified Cloud Practitioner,Issuer,Global_Premium,Programming,2025
RW-CERT-SRM_STA_013_V2-03,SRM_STA_013_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_014-01,SRM_STA_014,Tableau Certified Data Analyst,Issuer,National,Data,2023
RW-CERT-SRM_STA_014_V2-01,SRM_STA_014_V2,Tableau Certified Data Analyst,Issuer,Local,Programming,2026
RW-CERT-SRM_STA_015-01,SRM_STA_015,Unity Certified Associate,Issuer,Local,Web,2022
RW-CERT-SRM_STA_015-02,SRM_STA_015,Oracle Certified Professional: Java SE 11,Issuer,National,Data,2024
RW-CERT-SRM_STA_015-03,SRM_STA_015,NPTEL - Machine Learning,NPTEL,Local,Data,2025
RW-CERT-SRM_STA_015-04,SRM_STA_015,Microsoft Certified: Azure Fundamentals,Issuer,Local,AI,2024
RW-CERT-SRM_STA_015_V2-01,SRM_STA_015_V2,Unity Certified Associate,Issuer,Local,Web,2022
