internship_id,student_id,company_name,company_tier,role,domain,duration_months,stipend,mode,year
RW-INT-SRM_STA_002-01,SRM_STA_002,DataNest,Tier2,Data Analyst Intern,AI,3.0,True,Remote,2022
RW-INT-SRM_STA_002-02,SRM_STA_002,Nexora,Startup,Web Developer Intern,Web,2.0,False,Hybrid,2026
RW-INT-SRM_STA_002_V2-01,SRM_STA_002_V2,DataNest,Startup,Web Developer Intern,AI,1.0,False,Remote,2025
RW-INT-SRM_STA_002_V2-02,SRM_STA_002_V2,Nexora,Tier3,Web Developer Intern,Data,3.0,False,Remote,2026
RW-INT-SRM_STA_003-01,SRM_STA_003,Nexora,Startup,ML Intern,Web,6.0,True,Hybrid,2026
RW-INT-SRM_STA_003_V2-01,SRM_STA_003_V2,FinSight,Startup,Web Developer Intern,Web,3.0,False,On-site,2022
RW-INT-SRM_STA_004-01,SRM_STA_004,Nexora,Tier1,ML Intern,Web,2.0,False,Remote,2026
RW-INT-SRM_STA_004-02,SRM_STA_004,Nexora,Tier3,ML Intern,Cloud,3.0,False,Remote,2026
RW-INT-SRM_STA_004_V2-01,SRM_STA_004_V2,CloudBridge,Startup,Web Developer Intern,Web,1.0,True,Hybrid,2026
RW-INT-SRM_STA_004_V2-02,SRM_STA_004_V2,CodeWave,Tier2,Web Developer Intern,AI,2.0,True,Hybrid,2024
RW-INT-SRM_STA_005-01,SRM_STA_005,DataNest,Tier1,Web Developer Intern,Cloud,3.0,False,Hybrid,2022
RW-INT-SRM_STA_005-02,SRM_STA_005,CloudBridge,Tier1,Web Developer Intern,Data,1.0,False,On-site,2024
RW-INT-SRM_STA_005_V2-01,SRM_STA_005_V2,CodeWave,Startup,SDE Intern,Web,6.0,True,On-site,2026
RW-INT-SRM_STA_005_V2-02,SRM_STA_005_V2,DataNest,Startup,Data Analyst Intern,Data,3.0,False,Remote,2025
RW-INT-SRM_STA_007-01,SRM_STA_007,CodeWave,Tier3,Web Developer Intern,Web,2.0,True,Remote,2023
RW-INT-SRM_STA_007-02,SRM_STA_007,Nexora,Startup,Web Developer Intern,AI,2.0,True,Remote,2022
RW-INT-SRM_STA_007_V2-01,SRM_STA_007_V2,FinSight,Tier3,Web Developer Intern,Web,1.0,False,On-site,2026
RW-INT-SRM_STA_007_V2-02,SRM_STA_007_V2,Nexora,Tier3,SDE Intern,Cloud,1.0,False,Remote,2022
RW-INT-SRM_STA_009-01,SRM_STA_009,Nexora,Tier1,SDE Intern,Cloud,6.0,False,On-site,2022
RW-INT-SRM_STA_009_V2-01,SRM_STA_009_V2,FinSight,Tier3,Data Analyst Intern,Data,2.0,True,On-site,2025
RW-INT-SRM_STA_010-01,SRM_STA_010,DataNest,Tier3,SDE Intern,Data,6.0,True,On-site,2023
RW-INT-SRM_STA_010_V2-01,SRM_STA_010_V2,DataNest,Startup,SDE Intern,Data,2.0,False,Hybrid,2023
RW-INT-SRM_STA_011-01,SRM_STA_011,DataNest,Tier3,ML Intern,Web,1.0,False,Hybrid,2022
RW-INT-SRM_STA_011-02,SRM_STA_011,FinSight,Tier1,Data Analyst Intern,Cloud,3.0,True,On-site,2022
RW-INT-SRM_STA_011_V2-01,SRM_STA_011_V2,Nexora,Tier3,Data Analyst Intern,Web,6.0,False,Hybrid,2022
RW-INT-SRM_STA_011_V2-02,SRM_STA_011_V2,CloudBridge,Tier2,Web Developer Intern,Cloud,2.0,False,Remote,2023
RW-INT-SRM_STA_014-01,SRM_STA_014,Nexora,Tier3,Data Analyst Intern,AI,1.0,True,Remote,2025
RW-INT-SRM_STA_014_V2-01,SRM_STA_014_V2,DataNest,Tier2,Data Analyst Intern,Cloud,6.0,False,On-site,2025
RW-INT-SRM_STA_015-01,SRM_STA_015,Nexora,Tier2,SDE Intern,Cloud,1.0,True,Hybrid,2026
RW-INT-SRM_STA_015-02,SRM_STA_015,Nexora,Tier2,SDE Intern,Cloud,1.0,True,Remote,2024
RW-INT-SRM_STA_015_V2-01,SRM_STA_015_V2,FinSight,Tier1,SDE Intern,Web,3.0,False,Remote,2023
RW-INT-SRM_STA_015_V2-02,SRM_STA_015_V2,CloudBridge,Tier1,Web Developer Intern,Data,1.0,True,Hybrid,2024
RW-INT-SRM_STA_017-01,SRM_STA_017,Nexora,Tier2,Web Developer Intern,AI,2.0,True,On-site,2022
RW-INT-SRM_STA_017_V2-01,SRM_STA_017_V2,Nexora,Tier3,SDE Intern,AI,2.0,True,Hybrid,2023
RW-INT-SRM_STA_020-01,SRM_STA_020,Nexora,Tier2,ML Intern,Data,1.0,True,Remote,2022
RW-INT-SRM_STA_020_V2-01,SRM_STA_020_V2,FinSight,Tier3,SDE Intern,Data,6.0,False,Hybrid,2022
RW-INT-SRM_STA_021-01,SRM_STA_021,Nexora,Startup,Data Analyst Intern,Data,2.0,False,Hybrid,2023
RW-INT-SRM_STA_021-02,SRM_STA_021,FinSight,Tier3,ML Intern,Cloud,2.0,True,On-site,2025
RW-INT-SRM_STA_021_V2-01,SRM_STA_021_V2,CloudBridge,Startup,ML Intern,Web,1.0,True,Hybrid,2025
RW-INT-SRM_STA_021_V2-02,SRM_STA_021_V2,CodeWave,Startup,SDE Intern,AI,1.0,False,Remote,2023
RW-INT-SRM_STA_026-01,SRM_STA_026,FinSight,Startup,ML Intern,AI,6.0,True,Remote,2026
RW-INT-SRM_STA_026-02,SRM_STA_026,CloudBridge,Tier1,Data Analyst Intern,Data,3.0,True,On-site,2025
RW-INT-SRM_STA_026_V2-01,SRM_STA_026_V2,CodeWave,Tier2,Data Analyst Intern,Web,6.0,True,Remote,2024
RW-INT-SRM_STA_026_V2-02,SRM_STA_026_V2,Nexora,Tier3,SDE Intern,Web,6.0,False,Hybrid,2026
RW-INT-SRM_STA_028-01,SRM_STA_028,CloudBridge,Tier2,ML Intern,Cloud,3.0,False,Hybrid,2022
RW-INT-SRM_STA_028-02,SRM_STA_028,Nexora,Tier3,SDE Intern,Web,2.0,False,Remote,2023
RW-INT-SRM_STA_028_V2-01,SRM_STA_028_V2,FinSight,Tier1,SDE Intern,AI,2.0,True,Remote,2023
RW-INT-SRM_STA_028_V2-02,SRM_STA_028_V2,DataNest,Tier1,ML Intern,Data,6.0,True,Remote,2022
RW-INT-SRM_STA_029-01,SRM_STA_029,Nexora,Tier3,ML Intern,Cloud,6.0,True,Hybrid,2024
RW-INT-SRM_STA_029_V2-01,SRM_STA_029_V2,CloudBridge,Tier2,ML Intern,Web,2.0,True,On-site,2026
RW-INT-SRM_STA_032-01,SRM_STA_032,CodeWave,Tier1,SDE Intern,Data,3.0,True,Remote,2026
RW-INT-SRM_STA_032-02,SRM_STA_032,DataNest,Tier1,Web Developer Intern,AI,2.0,False,Hybrid,2024
RW-INT-SRM_STA_032_V2-01,SRM_STA_032_V2,Nexora,Tier3,SDE Intern,AI,2.0,False,Hybrid,2023
RW-INT-SRM_STA_032_V2-02,SRM_STA_032_V2,DataNest,Tier1,Data Analyst Intern,AI,2.0,True,On-site,2025
RW-INT-SRM_STA_033-01,SRM_STA_033,DataNest,Tier3,Data Analyst Intern,Cloud,2.0,True,Hybrid,2024
RW-INT-SRM_STA_033_V2-01,SRM_STA_033_V2,Nexora,Tier1,Web Developer Intern,Cloud,3.0,False,Hybrid,2026
RW-INT-SRM_STA_035-01,SRM_STA_035,CloudBridge,Tier1,Web Developer Intern,AI,3.0,True,Remote,2022
RW-INT-SRM_STA_035_V2-01,SRM_STA_035_V2,Nexora,Tier3,Web Developer Intern,AI,6.0,True,Remote,2023
RW-INT-SRM_STA_037-01,SRM_STA_037,DataNest,Tier3,Data Analyst Intern,Web,1.0,False,On-site,2022
RW-INT-SRM_STA_037_V2-01,SRM_STA_037_V2,DataNest,Startup,Web Developer Intern,Data,1.0,True,Remote,2025
