student_id,company_id,cgpa_normalized,10th_normalized,12th_normalized,active_backlogs,dept_match,required_skills_match_ratio,preferred_skills_match_ratio,total_internship_months,max_internship_tier,num_projects,max_project_complexity,meets_project_complexity,num_global_premium_certs,num_global_standard_certs,num_national_certs,meets_cert_tier,num_papers,max_paper_tier,num_advanced_skills,num_verified_skills
SRM_STA_001,CO001,0.7110000000000001,0.608,0.637,0,1,0.0,0.0,0.0,0,2,2,1,0,1,2,1,0,0,0,2
SRM_STA_001_V2,CO001,0.7110000000000001,0.608,0.637,0,1,0.0,0.0,0.0,0,2,3,1,1,3,0,1,0,0,2,4
SRM_STA_002,CO001,0.774,0.7120000000000001,0.754,2,1,0.0,0.5,5.0,4,3,3,1,3,0,1,1,0,0,2,4
SRM_STA_002_V2,CO001,0.774,0.7120000000000001,0.754,2,1,0.0,0.5,4.0,3,3,3,1,0,1,0,1,0,0,2,6
SRM_STA_003,CO001,0.8460000000000001,0.9670000000000001,0.863,1,1,0.0,0.0,6.0,2,3,3,1,0,0,1,0,0,0,2,6
SRM_STA_003_V2,CO001,0.8460000000000001,0.9670000000000001,0.863,1,1,0.0,0.0,3.0,2,3,2,1,1,0,0,1,0,0,4,3
SRM_STA_004,CO001,0.659,0.785,0.675,0,1,0.333,0.0,5.0,5,2,2,1,0,0,1,0,0,0,2,7
SRM_STA_004_V2,CO001,0.659,0.785,0.675,0,1,0.333,0.0,3.0,4,2,1,0,0,0,0,0,0,0,4,7
SRM_STA_005,CO001,0.766,0.755,0.8009999999999999,0,1,0.333,0.0,4.0,5,2,2,1,0,0,0,0,0,0,4,6
SRM_STA_005_V2,CO001,0.766,0.755,0.8009999999999999,0,1,0.333,0.0,9.0,2,2,3,1,0,0,1,0,0,0,5,7
SRM_STA_006,CO001,0.885,0.765,0.82,0,1,0.333,0.5,0.0,0,2,3,1,0,1,0,1,0,0,1,4
SRM_STA_006_V2,CO001,0.885,0.765,0.82,0,1,0.333,0.5,0.0,0,2,3,1,0,0,0,0,0,0,1,2
SRM_STA_007,CO001,0.8009999999999999,0.856,0.682,0,1,0.667,0.0,4.0,3,2,1,0,0,1,0,1,0,0,0,6
SRM_STA_007_V2,CO001,0.8009999999999999,0.856,0.682,0,1,0.667,0.0,2.0,3,2,2,1,0,0,1,0,0,0,0,5
SRM_STA_008,CO001,0.8039999999999999,0.757,0.8009999999999999,0,1,0.0,0.0,0.0,0,2,2,1,0,1,1,1,0,0,2,8
SRM_STA_008_V2,CO001,0.8039999999999999,0.757,0.8009999999999999,0,0,0.0,0.0,0.0,0,2,3,1,0,2,1,1,0,0,3,3
SRM_STA_009,CO001,0.742,0.682,0.722,0,1,0.667,0.5,6.0,5,2,3,1,1,0,2,1,0,0,3,4
SRM_STA_009_V2,CO001,0.742,0.682,0.722,0,1,0.667,0.5,2.0,3,2,2,1,1,0,1,1,0,0,4,4
SRM_STA_010,CO001,0.769,0.773,0.8320000000000001,0,0,0.0,0.0,6.0,3,2,3,1,0,3,0,1,0,0,4,4
SRM_STA_010_V2,CO001,0.769,0.773,0.8320000000000001,0,0,0.0,0.0,2.0,2,2,2,1,1,2,0,1,0,0,0,2
SRM_STA_011,CO001,0.861,0.946,0.9309999999999999,0,1,0.0,0.0,4.0,5,2,3,1,0,1,0,1,0,0,0,7
SRM_STA_011_V2,CO001,0.861,0.946,0.9309999999999999,0,0,0.0,0.0,8.0,4,2,1,0,0,1,0,1,0,0,1,7
SRM_STA_012,CO001,0.665,0.638,0.6920000000000001,0,1,0.0,0.5,0.0,0,3,1,0,1,1,0,1,0,0,3,5
SRM_STA_012_V2,CO001,0.665,0.638,0.6920000000000001,0,1,0.0,0.5,0.0,0,3,3,1,0,0,0,0,0,0,3,5
SRM_STA_013,CO001,0.74,0.7070000000000001,0.8140000000000001,0,1,0.0,0.5,0.0,0,2,3,1,0,1,2,1,0,0,1,2
SRM_STA_013_V2,CO001,0.74,0.7070000000000001,0.8140000000000001,0,0,0.0,0.5,0.0,0,2,2,1,1,1,0,1,0,0,2,4
SRM_STA_014,CO001,0.717,0.706,0.795,0,1,0.0,0.0,1.0,3,2,2,1,0,0,1,0,0,0,2,3
SRM_STA_014_V2,CO001,0.717,0.706,0.795,0,1,0.0,0.0,6.0,4,2,2,1,0,0,0,0,0,0,2,2
SRM_STA_015,CO001,0.688,0.634,0.613,0,1,0.0,0.5,2.0,4,2,2,1,0,0,1,0,0,0,5,8
SRM_STA_015_V2,CO001,0.688,0.634,0.613,0,1,0.0,0.5,4.0,5,2,1,0,1,2,0,1,0,0,5,5
SRM_STA_016,CO001,0.764,0.828,0.779,0,1,0.0,0.0,0.0,0,2,2,1,2,0,1,1,0,0,0,3
SRM_STA_016_V2,CO001,0.764,0.828,0.779,0,1,0.0,0.0,0.0,0,2,2,1,1,2,1,1,0,0,2,3
SRM_STA_017,CO001,0.73,0.7809999999999999,0.797,1,0,0.0,0.0,2.0,4,2,2,1,1,0,0,1,0,0,2,2
SRM_STA_017_V2,CO001,0.73,0.7809999999999999,0.797,1,0,0.0,0.0,2.0,3,2,3,1,0,0,2,0,0,0,3,2
SRM_STA_018,CO001,0.906,0.818,0.8220000000000001,0,1,0.0,0.0,0.0,0,3,3,1,0,1,0,1,0,0,1,2
SRM_STA_018_V2,CO001,0.906,0.818,0.8220000000000001,0,1,0.0,0.0,0.0,0,3,3,1,2,0,0,1,0,0,1,2
SRM_STA_019,CO001,0.792,0.727,0.721,0,1,0.0,0.0,0.0,0,3,3,1,2,0,0,1,0,0,0,5
SRM_STA_019_V2,CO001,0.792,0.727,0.721,0,1,0.0,0.0,0.0,0,3,3,1,0,0,0,0,0,0,3,5
SRM_STA_020,CO001,0.6950000000000001,0.643,0.6609999999999999,1,1,0.667,0.0,1.0,4,3,2,1,2,1,0,1,0,0,3,5
SRM_STA_020_V2,CO001,0.6950000000000001,0.643,0.6609999999999999,1,1,0.667,0.0,6.0,3,3,3,1,0,0,0,0,0,0,3,5
SRM_STA_021,CO001,0.778,0.759,0.682,0,1,0.0,0.0,4.0,3,2,3,1,2,0,0,1,0,0,0,3
SRM_STA_021_V2,CO001,0.778,0.759,0.682,0,1,0.0,0.0,2.0,2,2,3,1,0,0,2,0,0,0,1,6
SRM_STA_022,CO001,0.787,0.903,0.807,0,0,0.333,0.0,0.0,0,2,2,1,0,1,0,1,0,0,1,2
SRM_STA_022_V2,CO001,0.787,0.903,0.807,0,0,0.333,0.0,0.0,0,2,3,1,0,1,0,1,0,0,1,3
SRM_STA_023,CO001,0.756,0.805,0.72,0,1,0.333,0.5,0.0,0,2,3,1,0,1,0,1,0,0,7,6
SRM_STA_023_V2,CO001,0.756,0.805,0.72,0,1,0.333,0.5,0.0,0,2,1,0,0,1,0,1,0,0,6,5
SRM_STA_024,CO001,0.713,0.74,0.779,1,0,0.0,0.0,0.0,0,2,1,0,1,0,0,1,0,0,3,5
SRM_STA_024_V2,CO001,0.713,0.74,0.779,1,0,0.0,0.0,0.0,0,2,1,0,0,0,1,0,0,0,1,2
SRM_STA_025,CO001,0.818,0.8909999999999999,0.836,0,1,0.333,0.5,0.0,0,2,3,1,0,1,1,1,0,0,2,5
SRM_STA_025_V2,CO001,0.818,0.8909999999999999,0.836,0,1,0.333,0.5,0.0,0,2,1,0,0,1,2,1,0,0,1,4
SRM_STA_026,CO001,0.857,0.97,0.899,0,0,0.667,0.5,9.0,5,2,2,1,1,0,2,1,0,0,4,5
SRM_STA_026_V2,CO001,0.857,0.97,0.899,0,0,0.667,0.5,12.0,4,2,2,1,1,0,0,1,0,0,3,4
