student_id,candidate_skill,avg_eligibility_gain,max_eligibility_gain,n_companies_gained,baseline_avg_prob,n_skills_currently
SRM_STA_001,Java,0.0167,0.5712,10,0.2758,4
SRM_STA_001,C,0.0139,0.5712,9,0.2758,4
SRM_STA_001,C++,0.0234,0.6675,6,0.2758,4
SRM_STA_001,JavaScript,0.0269,0.6675,14,0.2758,4
SRM_STA_001,TypeScript,0.0051,0.2037,2,0.2758,4
SRM_STA_001,React,0.0201,0.6675,5,0.2758,4
SRM_STA_001,Angular,0.0027,0.2037,1,0.2758,4
SRM_STA_001,Node.js,0.0243,0.5712,7,0.2758,4
SRM_STA_001,Django,0.0065,0.2026,4,0.2758,4
SRM_STA_001,Flask,0.0206,0.5712,6,0.2758,4
SRM_STA_001,Spring Boot,0.0019,0.0939,2,0.2758,4
SRM_STA_001,TensorFlow,0.0045,0.3674,1,0.2758,4
SRM_STA_001,PyTorch,0.0046,0.2921,2,0.2758,4
SRM_STA_001,Scikit-learn,0.0142,0.6675,5,0.2758,4
SRM_STA_001,Pandas,0.0039,0.2037,3,0.2758,4
SRM_STA_001,NumPy,0.0035,0.2037,2,0.2758,4
SRM_STA_001,AWS,0.0046,0.2037,3,0.2758,4
SRM_STA_001,Azure,0.0107,0.2037,6,0.2758,4
SRM_STA_001,GCP,-0.0,0.0,0,0.2758,4
SRM_STA_001,Docker,0.0009,0.0752,1,0.2758,4
SRM_STA_001,Kubernetes,0.0083,0.6675,1,0.2758,4
SRM_STA_001,Git,0.013,0.6675,6,0.2758,4
SRM_STA_001,MongoDB,-0.0,0.0,0,0.2758,4
SRM_STA_001,PostgreSQL,0.0083,0.6675,1,0.2758,4
SRM_STA_001,MySQL,0.0009,0.0752,1,0.2758,4
SRM_STA_001,Redis,0.0083,0.6664,1,0.2758,4
SRM_STA_001,HTML/CSS,0.0083,0.6675,1,0.2758,4
SRM_STA_001,REST APIs,0.0,0.0002,0,0.2758,4
SRM_STA_001,Linux,0.0009,0.0752,1,0.2758,4
SRM_STA_001,Tableau,0.0069,0.5482,1,0.2758,4
SRM_STA_001,Power BI,0.0,0.0,0,0.2758,4
SRM_STA_001,Excel,0.0083,0.6675,1,0.2758,4
SRM_STA_001,Communication,0.0001,0.0752,1,0.2758,4
SRM_STA_001,Leadership,0.0083,0.6675,1,0.2758,4
SRM_STA_001_V2,Java,0.0212,0.4722,10,0.2912,4
SRM_STA_001_V2,C,0.0206,0.4722,9,0.2912,4
SRM_STA_001_V2,C++,0.0209,0.4722,7,0.2912,4
SRM_STA_001_V2,JavaScript,0.0375,0.4058,24,0.2912,4
SRM_STA_001_V2,TypeScript,0.0027,0.1137,2,0.2912,4
SRM_STA_001_V2,React,0.0139,0.4679,5,0.2912,4
SRM_STA_001_V2,Angular,0.0036,0.1258,3,0.2912,4
SRM_STA_001_V2,Node.js,0.0162,0.4679,7,0.2912,4
SRM_STA_001_V2,Django,0.012,0.1852,9,0.2912,4
SRM_STA_001_V2,Flask,0.0218,0.4679,10,0.2912,4
SRM_STA_001_V2,Spring Boot,0.0011,0.0741,2,0.2912,4
SRM_STA_001_V2,TensorFlow,0.0041,0.3542,1,0.2912,4
SRM_STA_001_V2,PyTorch,0.0089,0.4722,3,0.2912,4
SRM_STA_001_V2,Scikit-learn,0.011,0.4058,6,0.2912,4
SRM_STA_001_V2,Pandas,0.004,0.1388,4,0.2912,4
SRM_STA_001_V2,NumPy,0.0022,0.1388,2,0.2912,4
SRM_STA_001_V2,AWS,0.0021,0.1388,3,0.2912,4
SRM_STA_001_V2,Azure,0.0054,0.1137,6,0.2912,4
SRM_STA_001_V2,GCP,-0.0,0.0,0,0.2912,4
SRM_STA_001_V2,Docker,0.001,0.1388,1,0.2912,4
SRM_STA_001_V2,Kubernetes,0.0051,0.4058,1,0.2912,4
SRM_STA_001_V2,Git,0.0138,0.4058,6,0.2912,4
SRM_STA_001_V2,MongoDB,0.0,0.0,0,0.2912,4
SRM_STA_001_V2,PostgreSQL,0.0044,0.4058,1,0.2912,4
SRM_STA_001_V2,MySQL,0.0014,0.1388,1,0.2912,4
SRM_STA_001_V2,Redis,0.006,0.4773,1,0.2912,4
SRM_STA_001_V2,HTML/CSS,0.0041,0.4058,1,0.2912,4
SRM_STA_001_V2,REST APIs,0.0,0.0001,0,0.2912,4
SRM_STA_001_V2,Linux,0.0013,0.1388,1,0.2912,4
SRM_STA_001_V2,Tableau,0.0042,0.3353,1,0.2912,4
SRM_STA_001_V2,Power BI,0.0,0.0,0,0.2912,4
SRM_STA_001_V2,Excel,0.0042,0.4058,1,0.2912,4
SRM_STA_001_V2,Communication,0.003,0.1388,2,0.2912,4
SRM_STA_001_V2,Leadership,0.0051,0.4058,1,0.2912,4
SRM_STA_002,Python,-0.0051,0.1835,5,0.0866,8
SRM_STA_002,C,0.0065,0.4187,3,0.0866,8
SRM_STA_002,C++,0.0203,0.4187,10,0.0866,8
SRM_STA_002,JavaScript,-0.0115,0.1988,3,0.0866,8
SRM_STA_002,SQL,0.0071,0.4187,6,0.0866,8
SRM_STA_002,React,0.0009,0.1797,2,0.0866,8
SRM_STA_002,Angular,0.0031,0.1988,5,0.0866,8
SRM_STA_002,Spring Boot,-0.0012,0.0185,1,0.0866,8
SRM_STA_002,TensorFlow,0.005,0.1988,3,0.0866,8
SRM_STA_002,PyTorch,0.0036,0.4187,2,0.0866,8
