student_id,skill_name,proficiency,verified
SRM_STA_001,OpenCV,Beginner,False
SRM_STA_001,NLP,Beginner,True
SRM_STA_001,SQL,Beginner,False
SRM_STA_001,Python,Beginner,True
SRM_STA_001_V2,OpenCV,Beginner,True
SRM_STA_001_V2,NLP,Advanced,True
SRM_STA_001_V2,SQL,Beginner,True
SRM_STA_001_V2,Python,Advanced,True
SRM_STA_002,Flask,Beginner,False
SRM_STA_002,TypeScript,Advanced,True
SRM_STA_002,Git,Beginner,False
SRM_STA_002,Node.js,Intermediate,False
SRM_STA_002,MongoDB,Advanced,True
SRM_STA_002,Java,Beginner,True
SRM_STA_002,PostgreSQL,Beginner,False
SRM_STA_002,Django,Intermediate,True
SRM_STA_002_V2,Flask,Intermediate,True
SRM_STA_002_V2,TypeScript,Beginner,True
SRM_STA_002_V2,Git,Beginner,True
SRM_STA_002_V2,Node.js,Advanced,True
SRM_STA_002_V2,MongoDB,Beginner,False
SRM_STA_002_V2,Java,Beginner,True
SRM_STA_002_V2,PostgreSQL,Advanced,True
SRM_STA_002_V2,Django,Beginner,False
SRM_STA_003,Docker,Beginner,True
SRM_STA_003,Linux,Intermediate,True
SRM_STA_003,JavaScript,Beginner,True
SRM_STA_003,TypeScript,Advanced,True
SRM_STA_003,WebSockets,Intermediate,False
SRM_STA_003,Spring Boot,Advanced,True
SRM_STA_003,REST APIs,Intermediate,True
SRM_STA_003_V2,Docker,Intermediate,True
SRM_STA_003_V2,Linux,Beginner,False
SRM_STA_003_V2,JavaScript,Advanced,False
SRM_STA_003_V2,TypeScript,Advanced,True
SRM_STA_003_V2,WebSockets,Intermediate,False
SRM_STA_003_V2,Spring Boot,Advanced,True
SRM_STA_003_V2,REST APIs,Advanced,False
SRM_STA_004,GitHub Actions,Beginner,True
SRM_STA_004,Kubernetes,Intermediate,False
SRM_STA_004,Ansible,Intermediate,True
SRM_STA_004,Bash,Beginner,True
SRM_STA_004,Jenkins,Advanced,True
SRM_STA_004,GCP,Intermediate,True
SRM_STA_004,Docker,Intermediate,True
SRM_STA_004,Python,Advanced,False
SRM_STA_004,Azure,Beginner,True
SRM_STA_004_V2,GitHub Actions,Intermediate,True
SRM_STA_004_V2,Kubernetes,Beginner,True
SRM_STA_004_V2,Ansible,Advanced,False
SRM_STA_004_V2,Bash,Advanced,True
SRM_STA_004_V2,Jenkins,Intermediate,True
SRM_STA_004_V2,GCP,Beginner,True
SRM_STA_004_V2,Docker,Advanced,False
SRM_STA_004_V2,Python,Intermediate,True
SRM_STA_004_V2,Azure,Advanced,True
SRM_STA_005,Hugging Face,Beginner,True
SRM_STA_005,SQL,Intermediate,True
SRM_STA_005,NLTK,Beginner,True
SRM_STA_005,LangChain,Advanced,False
SRM_STA_005,Python,Advanced,True
SRM_STA_005,TensorFlow,Advanced,True
SRM_STA_005,Keras,Beginner,False
SRM_STA_005,SpaCy,Advanced,False
SRM_STA_005,Azure,Beginner,True
SRM_STA_005_V2,Hugging Face,Intermediate,True
SRM_STA_005_V2,SQL,Advanced,True
SRM_STA_005_V2,NLTK,Intermediate,False
SRM_STA_005_V2,LangChain,Beginner,False
SRM_STA_005_V2,Python,Advanced,True
SRM_STA_005_V2,TensorFlow,Advanced,True
SRM_STA_005_V2,Keras,Advanced,True
SRM_STA_005_V2,SpaCy,Beginner,True
SRM_STA_005_V2,Azure,Advanced,True
SRM_STA_006,Python,Intermediate,True
SRM_STA_006,Scikit-learn,Advanced,True
SRM_STA_006,Hugging Face,Intermediate,False
SRM_STA_006,MLflow,Beginner,False
SRM_STA_006,NumPy,Beginner,True
SRM_STA_006,Pandas,Intermediate,True
SRM_STA_006_V2,Python,Intermediate,False
SRM_STA_006_V2,Scikit-learn,Intermediate,False
SRM_STA_006_V2,Hugging Face,Advanced,False
SRM_STA_006_V2,MLflow,Beginner,True
SRM_STA_006_V2,NumPy,Intermediate,False
SRM_STA_006_V2,Pandas,Intermediate,True
SRM_STA_007,SQL,Intermediate,True
SRM_STA_007,Keras,Intermediate,True
SRM_STA_007,PyTorch,Beginner,True
SRM_STA_007,NLP,Intermediate,True
SRM_STA_007,AWS,Intermediate,True
SRM_STA_007,Pandas,Beginner,True
SRM_STA_007_V2,SQL,Beginner,True
SRM_STA_007_V2,Keras,Intermediate,True
SRM_STA_007_V2,PyTorch,Beginner,True
SRM_STA_007_V2,NLP,Beginner,True
SRM_STA_007_V2,AWS,Beginner,True
SRM_STA_007_V2,Pandas,Beginner,False
SRM_STA_008,SCADA,Advanced,True
SRM_STA_008,PowerWorld,Intermediate,True
SRM_STA_008,Python,Intermediate,True
SRM_STA_008,PSCAD,Beginner,False
SRM_STA_008,VHDL,Intermediate,True
SRM_STA_008,Verilog,Intermediate,False
SRM_STA_008,Raspberry Pi,Beginner,True
SRM_STA_008,AutoCAD Electrical,Beginner,True
SRM_STA_008,MATLAB,Advanced,True
SRM_STA_008,Embedded C,Beginner,True
SRM_STA_008_V2,SCADA,Intermediate,False
SRM_STA_008_V2,PowerWorld,Intermediate,False
SRM_STA_008_V2,Python,Intermediate,False
SRM_STA_008_V2,PSCAD,Advanced,False
SRM_STA_008_V2,VHDL,Advanced,False
SRM_STA_008_V2,Verilog,Beginner,True
SRM_STA_008_V2,Raspberry Pi,Beginner,False
SRM_STA_008_V2,AutoCAD Electrical,Beginner,True
SRM_STA_008_V2,MATLAB,Advanced,True
SRM_STA_008_V2,Embedded C,Intermediate,False
SRM_STA_009,Scikit-learn,Beginner,False
SRM_STA_009,MLflow,Advanced,False
SRM_STA_009,Azure,Beginner,False
SRM_STA_009,Python,Intermediate,True
SRM_STA_009,Pandas,Beginner,True
SRM_STA_009,NumPy,Beginner,True
SRM_STA_009,SQL,Advanced,False
SRM_STA_009,NLTK,Advanced,True
SRM_STA_009_V2,Scikit-learn,Advanced,True
SRM_STA_009_V2,MLflow,Beginner,False
SRM_STA_009_V2,Azure,Intermediate,False
SRM_STA_009_V2,Python,Beginner,False
SRM_STA_009_V2,Pandas,Advanced,False
SRM_STA_009_V2,NumPy,Advanced,True
SRM_STA_009_V2,SQL,Advanced,True
SRM_STA_009_V2,NLTK,Beginner,True
SRM_STA_010,GitHub Actions,Advanced,True
SRM_STA_010,Jenkins,Advanced,True
SRM_STA_010,Grafana,Advanced,False
SRM_STA_010,Python,Advanced,True
SRM_STA_010,Prometheus,Intermediate,True
SRM_STA_010_V2,GitHub Actions,Intermediate,False
SRM_STA_010_V2,Jenkins,Intermediate,True
SRM_STA_010_V2,Grafana,Beginner,False
SRM_STA_010_V2,Python,Beginner,False
SRM_STA_010_V2,Prometheus,Beginner,True
SRM_STA_011,Unity,Beginner,True
SRM_STA_011,Figma,Beginner,True
SRM_STA_011,Blender,Intermediate,False
SRM_STA_011,Concept Art,Intermediate,True
SRM_STA_011,C#,Beginner,True
SRM_STA_011,Unreal Engine,Beginner,True
SRM_STA_011,Maya,Intermediate,True
SRM_STA_011,Narrative Design,Beginner,True
SRM_STA_011,Animation,Intermediate,False
SRM_STA_011_V2,Unity,Advanced,True
SRM_STA_011_V2,Figma,Beginner,True
SRM_STA_011_V2,Blender,Intermediate,True
SRM_STA_011_V2,Concept Art,Intermediate,False
SRM_STA_011_V2,C#,Intermediate,True
SRM_STA_011_V2,Unreal Engine,Intermediate,True
SRM_STA_011_V2,Maya,Beginner,False
SRM_STA_011_V2,Narrative Design,Intermediate,True
SRM_STA_011_V2,Animation,Intermediate,True
SRM_STA_012,Matplotlib,Intermediate,False
SRM_STA_012,Seaborn,Advanced,True
SRM_STA_012,Spark,Intermediate,False
SRM_STA_012,Python,Advanced,True
SRM_STA_012,NumPy,Intermediate,False
SRM_STA_012,Tableau,Advanced,True
SRM_STA_012,Excel,Beginner,False
SRM_STA_012,Power BI,Intermediate,True
SRM_STA_012,Hadoop,Beginner,True
SRM_STA_012_V2,Matplotlib,Advanced,True
SRM_STA_012_V2,Seaborn,Intermediate,False
SRM_STA_012_V2,Spark,Advanced,True
SRM_STA_012_V2,Python,Beginner,False
SRM_STA_012_V2,NumPy,Advanced,False
SRM_STA_012_V2,Tableau,Intermediate,True
SRM_STA_012_V2,Excel,Beginner,False
SRM_STA_012_V2,Power BI,Beginner,True
SRM_STA_012_V2,Hadoop,Beginner,True
SRM_STA_013,JavaScript,Intermediate,False
SRM_STA_013,Photoshop,Intermediate,False
SRM_STA_013,OpenGL,Intermediate,True
SRM_STA_013,Git,Beginner,True
SRM_STA_013,C++,Advanced,False
SRM_STA_013,Python,Beginner,False
SRM_STA_013,C#,Intermediate,False
SRM_STA_013_V2,JavaScript,Intermediate,True
SRM_STA_013_V2,Photoshop,Advanced,False
SRM_STA_013_V2,OpenGL,Beginner,True
SRM_STA_013_V2,Git,Intermediate,False
SRM_STA_013_V2,C++,Beginner,True
SRM_STA_013_V2,Python,Intermediate,True
SRM_STA_013_V2,C#,Advanced,False
SRM_STA_014,Prometheus,Intermediate,True
SRM_STA_014,Terraform,Advanced,True
SRM_STA_014,Jenkins,Advanced,True
SRM_STA_014,Bash,Beginner,False
SRM_STA_014_V2,Prometheus,Advanced,False
SRM_STA_014_V2,Terraform,Beginner,True
SRM_STA_014_V2,Jenkins,Advanced,False
SRM_STA_014_V2,Bash,Intermediate,True
SRM_STA_015,SQL,Intermediate,True
SRM_STA_015,Django,Advanced,True
SRM_STA_015,JavaScript,Advanced,True
SRM_STA_015,Git,Advanced,True
SRM_STA_015,WebSockets,Intermediate,True
SRM_STA_015,REST APIs,Beginner,True
SRM_STA_015,Spring Boot,Intermediate,False
SRM_STA_015,PostgreSQL,Advanced,True
SRM_STA_015,Node.js,Advanced,True
SRM_STA_015,TypeScript,Intermediate,False
SRM_STA_015_V2,SQL,Intermediate,True
SRM_STA_015_V2,Django,Advanced,False
SRM_STA_015_V2,JavaScript,Advanced,False
SRM_STA_015_V2,Git,Intermediate,False
SRM_STA_015_V2,WebSockets,Advanced,True
SRM_STA_015_V2,REST APIs,Beginner,True
SRM_STA_015_V2,Spring Boot,Advanced,False
SRM_STA_015_V2,PostgreSQL,Intermediate,False
SRM_STA_015_V2,Node.js,Advanced,True
SRM_STA_015_V2,TypeScript,Beginner,True
SRM_STA_016,Docker,Intermediate,True
SRM_STA_016,Bash,Intermediate,True
SRM_STA_016,GCP,Beginner,True
SRM_STA_016,Linux,Beginner,False
SRM_STA_016_V2,Docker,Beginner,False
SRM_STA_016_V2,Bash,Advanced,True
SRM_STA_016_V2,GCP,Beginner,True
SRM_STA_016_V2,Linux,Advanced,True
SRM_STA_017,Node.js,Intermediate,True
SRM_STA_017,React,Intermediate,False
SRM_STA_017,Python,Advanced,False
SRM_STA_017,JavaScript,Advanced,True
SRM_STA_017_V2,Node.js,Intermediate,True
SRM_STA_017_V2,React,Advanced,True
SRM_STA_017_V2,Python,Advanced,False
SRM_STA_017_V2,JavaScript,Advanced,False
SRM_STA_018,GitHub,Intermediate,True
SRM_STA_018,Docker,Beginner,False
SRM_STA_018,PostgreSQL,Advanced,True
SRM_STA_018,Java,Intermediate,False
SRM_STA_018_V2,GitHub,Advanced,True
SRM_STA_018_V2,Docker,Intermediate,False
SRM_STA_018_V2,PostgreSQL,Intermediate,False
SRM_STA_018_V2,Java,Intermediate,True
SRM_STA_019,JavaScript,Intermediate,True
SRM_STA_019,Docker,Intermediate,False
SRM_STA_019,PostgreSQL,Beginner,False
SRM_STA_019,SQL,Beginner,True
SRM_STA_019,Linux,Intermediate,True
SRM_STA_019,GitHub,Intermediate,False
SRM_STA_019,MongoDB,Intermediate,True
SRM_STA_019,REST APIs,Intermediate,True
SRM_STA_019_V2,JavaScript,Beginner,True
SRM_STA_019_V2,Docker,Advanced,False
SRM_STA_019_V2,PostgreSQL,Beginner,False
SRM_STA_019_V2,SQL,Intermediate,True
SRM_STA_019_V2,Linux,Intermediate,False
SRM_STA_019_V2,GitHub,Advanced,True
SRM_STA_019_V2,MongoDB,Beginner,True
SRM_STA_019_V2,REST APIs,Advanced,True
SRM_STA_020,Pandas,Intermediate,False
SRM_STA_020,Azure,Advanced,False
SRM_STA_020,SQL,Intermediate,True
SRM_STA_020,PyTorch,Intermediate,True
SRM_STA_020,Computer Vision,Intermediate,True
SRM_STA_020,NLP,Advanced,False
SRM_STA_020,SpaCy,Advanced,False
SRM_STA_020,MLflow,Intermediate,True
SRM_STA_020,Scikit-learn,Intermediate,True
SRM_STA_020_V2,Pandas,Advanced,True
SRM_STA_020_V2,Azure,Beginner,True
SRM_STA_020_V2,SQL,Intermediate,False
SRM_STA_020_V2,PyTorch,Intermediate,True
SRM_STA_020_V2,Computer Vision,Intermediate,False
SRM_STA_020_V2,NLP,Advanced,True
SRM_STA_020_V2,SpaCy,Advanced,True
SRM_STA_020_V2,MLflow,Intermediate,False
SRM_STA_020_V2,Scikit-learn,Beginner,False
SRM_STA_021,C++,Beginner,False
SRM_STA_021,Spring Boot,Beginner,True
SRM_STA_021,React,Intermediate,True
SRM_STA_021,SQL,Intermediate,False
SRM_STA_021,MongoDB,Intermediate,True
SRM_STA_021,Docker,Beginner,False
SRM_STA_021_V2,C++,Intermediate,True
SRM_STA_021_V2,Spring Boot,Advanced,True
SRM_STA_021_V2,React,Intermediate,True
SRM_STA_021_V2,SQL,Beginner,True
SRM_STA_021_V2,MongoDB,Intermediate,True
SRM_STA_021_V2,Docker,Beginner,True
SRM_STA_022,Kubernetes,Intermediate,False
