student_id,candidate_skill,avg_eligibility_gain,max_eligibility_gain,n_companies_gained,baseline_avg_prob,n_skills_currently
S0001,Python,0.0067,0.3307,1,0.1354,4
S0001,Java,0.0171,0.414,5,0.1354,4
S0001,C++,0.0136,0.3089,5,0.1354,4
S0001,JavaScript,0.011,0.3632,4,0.1354,4
S0001,TypeScript,0.0021,0.0529,2,0.1354,4
S0001,SQL,0.018,0.414,4,0.1354,4
S0001,React,0.0114,0.414,3,0.1354,4
S0001,Angular,0.0011,0.0529,1,0.1354,4
S0001,Node.js,0.0159,0.414,6,0.1354,4
S0001,Django,0.0024,0.0865,2,0.1354,4
S0001,Flask,0.012,0.414,5,0.1354,4
S0001,Spring Boot,0.0002,0.0047,0,0.1354,4
S0001,TensorFlow,0.0062,0.3632,1,0.1354,4
S0001,PyTorch,0.0148,0.6554,2,0.1354,4
S0001,Scikit-learn,0.0168,0.7898,3,0.1354,4
S0001,Pandas,0.0137,0.3632,2,0.1354,4
S0001,NumPy,0.0012,0.0529,1,0.1354,4
S0001,AWS,0.0065,0.3632,1,0.1354,4
S0001,Azure,0.0097,0.3632,3,0.1354,4
S0001,GCP,-0.0,0.0,0,0.1354,4
S0001,Docker,0.0027,0.1349,1,0.1354,4
S0001,Kubernetes,0.0158,0.7898,1,0.1354,4
S0001,Git,0.019,0.7898,2,0.1354,4
S0001,MongoDB,0.0,0.0,0,0.1354,4
S0001,PostgreSQL,0.0008,0.0931,1,0.1354,4
S0001,MySQL,0.0001,0.0066,0,0.1354,4
S0001,Redis,0.0158,0.7898,1,0.1354,4
S0001,HTML/CSS,0.0008,0.0931,1,0.1354,4
S0001,REST APIs,0.0,0.0001,0,0.1354,4
S0001,Linux,0.0062,0.3089,1,0.1354,4
S0001,Tableau,0.0001,0.0066,0,0.1354,4
S0001,Power BI,0.0,0.0,0,0.1354,4
S0001,Excel,0.0019,0.0931,1,0.1354,4
S0001,Communication,0.0001,0.0066,0,0.1354,4
S0001,Leadership,0.0158,0.7898,1,0.1354,4
S0002,Python,0.0081,0.1717,5,0.5617,5
S0002,Java,0.0317,0.6707,6,0.5617,5
S0002,C++,0.0555,0.4792,14,0.5617,5
S0002,JavaScript,0.027,0.2552,7,0.5617,5
S0002,TypeScript,0.0229,0.4792,6,0.5617,5
S0002,SQL,0.0426,0.8655,7,0.5617,5
S0002,React,0.0188,0.2071,7,0.5617,5
S0002,Angular,0.0159,0.2552,8,0.5617,5
S0002,Node.js,0.0523,0.7208,9,0.5617,5
S0002,Django,0.0285,0.7781,9,0.5617,5
S0002,Flask,0.0195,0.1908,6,0.5617,5
S0002,Spring Boot,0.0153,0.2552,3,0.5617,5
S0002,TensorFlow,0.0276,0.7781,5,0.5617,5
S0002,PyTorch,0.01,0.3044,3,0.5617,5
S0002,Scikit-learn,0.0256,0.6707,7,0.5617,5
S0002,Pandas,0.0295,0.4792,8,0.5617,5
S0002,NumPy,0.0065,0.1908,4,0.5617,5
S0002,AWS,0.0207,0.2552,8,0.5617,5
S0002,Azure,0.0279,0.2552,7,0.5617,5
S0002,Docker,0.0007,0.0167,2,0.5617,5
S0002,Kubernetes,0.0042,0.2071,1,0.5617,5
S0002,Git,0.01,0.2071,6,0.5617,5
S0002,MongoDB,0.0067,0.3044,2,0.5617,5
S0002,PostgreSQL,0.0069,0.2071,3,0.5617,5
S0002,MySQL,0.007,0.3044,3,0.5617,5
S0002,Redis,0.0041,0.2071,1,0.5617,5
S0002,HTML/CSS,0.0068,0.2071,2,0.5617,5
S0002,REST APIs,0.0041,0.2071,1,0.5617,5
S0002,Linux,0.0038,0.1717,2,0.5617,5
S0002,Tableau,0.0044,0.1717,2,0.5617,5
S0002,Power BI,0.0,0.0,0,0.5617,5
S0002,Excel,0.0087,0.2071,3,0.5617,5
S0002,Communication,0.0044,0.1717,3,0.5617,5
S0002,Leadership,0.0041,0.2071,1,0.5617,5
S0003,Python,0.018,0.6994,3,0.1429,3
S0003,Java,0.0226,0.6218,4,0.1429,3
S0003,C,0.0235,0.6994,3,0.1429,3
S0003,C++,0.0577,0.6994,8,0.1429,3
S0003,JavaScript,0.0204,0.4424,4,0.1429,3
S0003,TypeScript,0.0188,0.6979,3,0.1429,3
S0003,SQL,0.058,0.8318,5,0.1429,3
S0003,React,0.037,0.784,4,0.1429,3
S0003,Angular,0.0202,0.784,2,0.1429,3
S0003,Node.js,0.0495,0.6979,5,0.1429,3
S0003,Django,0.0275,0.6979,5,0.1429,3
S0003,Flask,0.0269,0.6218,5,0.1429,3
S0003,Spring Boot,0.0,0.0008,0,0.1429,3
S0003,TensorFlow,0.0142,0.6979,2,0.1429,3
S0003,PyTorch,0.0203,0.8318,2,0.1429,3
S0003,Scikit-learn,0.0121,0.4424,3,0.1429,3
S0003,Pandas,0.0135,0.4424,2,0.1429,3
S0003,NumPy,0.0,0.0004,0,0.1429,3
S0003,AWS,0.0274,0.6994,3,0.1429,3
S0003,Azure,0.0092,0.2278,2,0.1429,3
S0003,GCP,-0.0,0.0,0,0.1429,3
S0003,Docker,0.0088,0.4424,1,0.1429,3
S0003,Kubernetes,0.0024,0.1207,1,0.1429,3
S0003,Git,0.0116,0.4424,3,0.1429,3
S0003,MongoDB,0.0,0.0,0,0.1429,3
S0003,PostgreSQL,0.0157,0.784,1,0.1429,3
S0003,MySQL,0.0,0.0004,0,0.1429,3
S0003,Redis,0.0157,0.784,1,0.1429,3
S0003,HTML/CSS,0.0024,0.1207,1,0.1429,3
S0003,REST APIs,0.0157,0.784,1,0.1429,3
S0003,Linux,0.0088,0.4424,1,0.1429,3
S0003,Tableau,0.0003,0.0161,1,0.1429,3
S0003,Power BI,0.0,0.0,0,0.1429,3
S0003,Excel,0.0157,0.784,1,0.1429,3
S0003,Communication,0.0003,0.0161,1,0.1429,3
S0003,Leadership,0.0024,0.1207,1,0.1429,3
S0004,Python,0.0235,0.8447,2,0.207,3
S0004,Java,0.0202,0.7805,4,0.207,3
S0004,C++,0.0617,0.9191,8,0.207,3
S0004,JavaScript,0.0072,0.1977,4,0.207,3
S0004,TypeScript,0.0156,0.7488,1,0.207,3
S0004,SQL,0.0434,0.8447,5,0.207,3
S0004,React,0.0273,0.4682,4,0.207,3
S0004,Angular,0.0096,0.4682,1,0.207,3
S0004,Node.js,0.0648,0.9191,5,0.207,3
S0004,Django,0.0317,0.7488,5,0.207,3
S0004,Flask,0.0167,0.7805,2,0.207,3
S0004,Spring Boot,0.0001,0.0012,0,0.207,3
S0004,TensorFlow,0.0075,0.2325,2,0.207,3
S0004,PyTorch,0.0243,0.8752,3,0.207,3
S0004,Scikit-learn,0.008,0.2347,4,0.207,3
S0004,Pandas,0.011,0.1977,3,0.207,3
S0004,NumPy,0.0003,0.0099,0,0.207,3
S0004,AWS,0.0112,0.236,3,0.207,3
S0004,Azure,0.0044,0.1977,1,0.207,3
S0004,Docker,0.0009,0.0432,1,0.207,3
S0004,Kubernetes,0.0047,0.2347,1,0.207,3
S0004,Git,0.008,0.2347,3,0.207,3
S0004,MongoDB,0.0071,0.3506,1,0.207,3
S0004,PostgreSQL,0.0095,0.4682,1,0.207,3
S0004,MySQL,0.0026,0.1175,2,0.207,3
S0004,Redis,0.0047,0.233,1,0.207,3
S0004,HTML/CSS,0.0004,0.013,1,0.207,3
S0004,REST APIs,0.0094,0.4682,1,0.207,3
S0004,Linux,0.0035,0.1765,1,0.207,3
S0004,Tableau,0.0021,0.1041,1,0.207,3
S0004,Power BI,0.0,0.0,0,0.207,3
S0004,Excel,0.0049,0.233,2,0.207,3
S0004,Communication,0.0001,0.0021,0,0.207,3
S0004,Leadership,0.0047,0.2347,1,0.207,3
S0005,Python,0.0,0.0,0,0.0,5
S0005,Java,-0.0,0.0,0,0.0,5
S0005,C++,0.0,0.0001,0,0.0,5
S0005,JavaScript,0.0,0.0001,0,0.0,5
S0005,TypeScript,0.0,0.0,0,0.0,5
S0005,SQL,0.0,0.0002,0,0.0,5
S0005,React,0.0,0.0,0,0.0,5
S0005,Angular,0.0,0.0001,0,0.0,5
S0005,Node.js,0.0,0.0003,0,0.0,5
S0005,Django,0.0,0.0002,0,0.0,5
S0005,Flask,0.0,0.0,0,0.0,5
S0005,Spring Boot,0.0,0.0,0,0.0,5
S0005,TensorFlow,0.0,0.0002,0,0.0,5
S0005,PyTorch,0.0,0.0,0,0.0,5
S0005,Scikit-learn,0.0,0.0001,0,0.0,5
S0005,Pandas,0.0,0.0,0,0.0,5
S0005,NumPy,0.0,0.0,0,0.0,5
S0005,AWS,0.0,0.0,0,0.0,5
S0005,Azure,0.0,0.0,0,0.0,5
S0005,GCP,-0.0,0.0,0,0.0,5
S0005,Docker,-0.0,0.0,0,0.0,5
S0005,Kubernetes,0.0,0.0001,0,0.0,5
S0005,Git,0.0,0.0001,0,0.0,5
S0005,MongoDB,0.0,0.0001,0,0.0,5
S0005,PostgreSQL,0.0,0.0,0,0.0,5
S0005,MySQL,0.0,0.0001,0,0.0,5
S0005,Redis,0.0,0.0,0,0.0,5
S0005,HTML/CSS,0.0,0.0,0,0.0,5
S0005,REST APIs,0.0,0.0,0,0.0,5
S0005,Linux,-0.0,0.0,0,0.0,5
S0005,Tableau,-0.0,0.0,0,0.0,5
S0005,Power BI,0.0,0.0,0,0.0,5
S0005,Excel,0.0,0.0001,0,0.0,5
S0005,Communication,0.0,0.0,0,0.0,5
S0005,Leadership,0.0,0.0,0,0.0,5
S0006,Python,0.0072,0.1872,2,0.5563,3
S0006,Java,0.0121,0.3547,3,0.5563,3
S0006,C,0.0112,0.1872,3,0.5563,3
S0006,C++,0.0221,0.3164,8,0.5563,3
S0006,JavaScript,0.0157,0.2228,6,0.5563,3
S0006,SQL,0.0081,0.1759,4,0.5563,3
S0006,React,0.0142,0.2228,5,0.5563,3
S0006,Angular,0.0119,0.3547,4,0.5563,3
S0006,Node.js,0.0125,0.1759,5,0.5563,3
S0006,Django,0.0084,0.3547,2,0.5563,3
S0006,Flask,0.0108,0.1759,4,0.5563,3
S0006,Spring Boot,-0.0035,0.0,0,0.5563,3
S0006,TensorFlow,0.0037,0.1492,2,0.5563,3
S0006,PyTorch,0.0072,0.1872,3,0.5563,3
S0006,Scikit-learn,0.0017,0.2228,2,0.5563,3
S0006,Pandas,0.0202,0.3164,6,0.5563,3
S0006,NumPy,0.011,0.2404,4,0.5563,3
S0006,Azure,0.0053,0.2373,4,0.5563,3
S0006,GCP,0.0,0.0001,0,0.5563,3
S0006,Docker,0.0068,0.1872,3,0.5563,3
S0006,Kubernetes,0.0015,0.0765,1,0.5563,3
S0006,Git,0.0242,0.2404,6,0.5563,3
S0006,MongoDB,0.0,0.0004,0,0.5563,3
S0006,PostgreSQL,0.0079,0.2228,3,0.5563,3
S0006,MySQL,0.0065,0.1872,2,0.5563,3
S0006,Redis,0.0045,0.2228,1,0.5563,3
S0006,HTML/CSS,0.0074,0.1505,3,0.5563,3
S0006,REST APIs,0.0,0.0008,0,0.5563,3
S0006,Linux,0.0041,0.1872,2,0.5563,3
S0006,Tableau,0.0037,0.1872,1,0.5563,3
S0006,Power BI,0.0,0.0,0,0.5563,3
S0006,Excel,0.0046,0.1407,3,0.5563,3
S0006,Communication,0.0074,0.1872,3,0.5563,3
S0006,Leadership,0.0045,0.2228,1,0.5563,3
S0007,Python,0.0002,0.01,0,0.0011,3
S0007,Java,0.0002,0.0083,0,0.0011,3
S0007,C,0.0002,0.01,0,0.0011,3
S0007,JavaScript,0.0,0.0015,0,0.0011,3
S0007,SQL,0.0,0.0001,0,0.0011,3
S0007,React,0.0002,0.0083,0,0.0011,3
S0007,Angular,0.0003,0.0082,0,0.0011,3
S0007,Node.js,0.0004,0.0148,1,0.0011,3
S0007,Django,0.0,0.0006,0,0.0011,3
S0007,Flask,0.0005,0.0148,1,0.0011,3
S0007,Spring Boot,0.0,0.0,0,0.0011,3
S0007,TensorFlow,0.0,0.001,0,0.0011,3
S0007,PyTorch,0.0,0.0,0,0.0011,3
S0007,Scikit-learn,0.0001,0.0029,0,0.0011,3
S0007,Pandas,0.0002,0.0082,0,0.0011,3
S0007,NumPy,0.0,0.0001,0,0.0011,3
S0007,AWS,0.0005,0.0103,1,0.0011,3
S0007,Azure,0.0002,0.0103,1,0.0011,3
S0007,GCP,0.0,0.0,0,0.0011,3
S0007,Docker,0.0,0.0006,0,0.0011,3
S0007,Kubernetes,0.0001,0.0029,0,0.0011,3
S0007,Git,0.0,0.0006,0,0.0011,3
S0007,MongoDB,0.0,0.0,0,0.0011,3
S0007,PostgreSQL,0.0001,0.0051,0,0.0011,3
S0007,MySQL,-0.0,0.0,0,0.0011,3
S0007,Redis,0.0,0.0,0,0.0011,3
S0007,HTML/CSS,0.0002,0.0104,1,0.0011,3
S0007,REST APIs,0.0,0.0001,0,0.0011,3
S0007,Linux,0.0,0.0004,0,0.0011,3
S0007,Tableau,0.0,0.0,0,0.0011,3
S0007,Power BI,0.0,0.0,0,0.0011,3
S0007,Excel,0.0001,0.0029,0,0.0011,3
S0007,Communication,0.0,0.0,0,0.0011,3
S0007,Leadership,0.0001,0.0029,0,0.0011,3
S0008,Python,-0.0002,0.0,0,0.0105,3
S0008,Java,-0.0005,0.0001,0,0.0105,3
S0008,C,-0.0003,0.0,0,0.0105,3
S0008,C++,-0.001,0.0119,1,0.0105,3
S0008,JavaScript,-0.0006,0.0,0,0.0105,3
S0008,TypeScript,-0.0001,0.0,0,0.0105,3
S0008,SQL,-0.0005,0.0,0,0.0105,3
S0008,React,-0.0006,0.0,0,0.0105,3
S0008,Angular,-0.0002,0.0,0,0.0105,3
S0008,Node.js,-0.0008,0.0,0,0.0105,3
S0008,Django,-0.0007,0.0,0,0.0105,3
S0008,Flask,-0.0005,0.0,0,0.0105,3
S0008,Spring Boot,-0.0005,0.0,0,0.0105,3
S0008,TensorFlow,-0.0003,0.0,0,0.0105,3
S0008,PyTorch,-0.0,0.0057,0,0.0105,3
S0008,Scikit-learn,-0.0008,0.0,0,0.0105,3
S0008,Pandas,-0.0005,0.0119,1,0.0105,3
S0008,NumPy,-0.0001,0.0057,0,0.0105,3
S0008,AWS,-0.0008,0.0,0,0.0105,3
S0008,Azure,-0.0009,0.0,0,0.0105,3
S0008,GCP,-0.0,0.0,0,0.0105,3
S0008,Kubernetes,-0.0001,0.0,0,0.0105,3
S0008,Git,-0.0005,0.0009,0,0.0105,3
S0008,MongoDB,-0.0,0.0,0,0.0105,3
S0008,PostgreSQL,-0.0002,0.0077,0,0.0105,3
S0008,MySQL,0.0,0.0077,0,0.0105,3
S0008,Redis,-0.0001,0.0,0,0.0105,3
S0008,HTML/CSS,-0.0004,0.0,0,0.0105,3
S0008,REST APIs,-0.0,0.0,0,0.0105,3
S0008,Linux,-0.0,0.0057,0,0.0105,3
S0008,Tableau,-0.0001,0.0,0,0.0105,3
S0008,Power BI,0.0,0.0,0,0.0105,3
S0008,Excel,-0.0002,0.0,0,0.0105,3
S0008,Communication,-0.0004,0.0004,0,0.0105,3
S0008,Leadership,-0.0001,0.0,0,0.0105,3
S0009,Python,0.0021,0.1562,1,0.0273,4
S0009,Java,0.0028,0.0543,4,0.0273,4
S0009,C,0.004,0.1562,2,0.0273,4
S0009,C++,0.0186,0.2501,7,0.0273,4
S0009,JavaScript,0.0072,0.2501,3,0.0273,4
S0009,TypeScript,0.025,0.2575,5,0.0273,4
S0009,SQL,0.0047,0.1562,4,0.0273,4
S0009,React,0.0061,0.2501,3,0.0273,4
S0009,Angular,-0.0022,0.0137,1,0.0273,4
S0009,Node.js,0.0168,0.2501,5,0.0273,4
S0009,Django,0.0117,0.2501,4,0.0273,4
S0009,Spring Boot,-0.0004,0.0,0,0.0273,4
S0009,TensorFlow,0.0068,0.2501,2,0.0273,4
S0009,PyTorch,0.0021,0.1074,1,0.0273,4
S0009,Scikit-learn,-0.0005,0.0519,1,0.0273,4
S0009,Pandas,0.003,0.1032,3,0.0273,4
S0009,NumPy,0.0103,0.2575,2,0.0273,4
S0009,AWS,0.0025,0.1032,2,0.0273,4
S0009,Azure,0.0169,0.2575,4,0.0273,4
S0009,GCP,-0.0001,0.0,0,0.0273,4
S0009,Docker,-0.0002,0.0068,0,0.0273,4
S0009,Kubernetes,-0.0,0.0001,0,0.0273,4
S0009,Git,0.0007,0.0068,0,0.0273,4
S0009,MongoDB,0.0001,0.0068,0,0.0273,4
S0009,PostgreSQL,-0.0,0.0137,1,0.0273,4
S0009,MySQL,0.0001,0.0068,0,0.0273,4
S0009,Redis,0.0,0.0001,0,0.0273,4
S0009,HTML/CSS,0.0001,0.0137,1,0.0273,4
S0009,REST APIs,0.0003,0.0137,1,0.0273,4
S0009,Linux,-0.0003,0.0,0,0.0273,4
S0009,Tableau,-0.0009,0.0,0,0.0273,4
S0009,Power BI,0.0,0.0,0,0.0273,4
S0009,Excel,0.0003,0.0137,1,0.0273,4
S0009,Communication,0.0,0.0068,0,0.0273,4
S0009,Leadership,0.0,0.0016,0,0.0273,4
S0010,Java,0.0058,0.1726,2,0.7118,3
S0010,C,0.0075,0.1819,2,0.7118,3
S0010,C++,0.0123,0.1955,7,0.7118,3
S0010,JavaScript,0.0087,0.2212,3,0.7118,3
S0010,TypeScript,0.0087,0.1889,4,0.7118,3
S0010,SQL,0.0049,0.1726,3,0.7118,3
S0010,React,0.0079,0.1819,4,0.7118,3
S0010,Angular,0.0102,0.1889,5,0.7118,3
S0010,Node.js,0.0092,0.1726,7,0.7118,3
S0010,Django,0.0119,0.1889,5,0.7118,3
S0010,Flask,0.0052,0.1889,3,0.7118,3
S0010,Spring Boot,0.0104,0.1726,3,0.7118,3
S0010,TensorFlow,0.0075,0.1889,3,0.7118,3
S0010,PyTorch,0.0055,0.1819,3,0.7118,3
S0010,Scikit-learn,0.0088,0.1819,4,0.7118,3
S0010,Pandas,0.0105,0.1726,5,0.7118,3
S0010,NumPy,0.0052,0.1819,2,0.7118,3
S0010,AWS,0.0115,0.1819,5,0.7118,3
S0010,Azure,0.0108,0.1726,5,0.7118,3
S0010,GCP,0.0,0.0008,0,0.7118,3
S0010,Docker,0.0029,0.0743,2,0.7118,3
S0010,Kubernetes,0.0002,0.0104,1,0.7118,3
S0010,Git,0.0078,0.1819,3,0.7118,3
S0010,MongoDB,0.0,0.0007,0,0.7118,3
S0010,PostgreSQL,0.0058,0.2212,2,0.7118,3
S0010,MySQL,0.005,0.1819,2,0.7118,3
S0010,Redis,0.0002,0.0104,1,0.7118,3
S0010,HTML/CSS,0.0045,0.2212,1,0.7118,3
S0010,REST APIs,0.0013,0.0633,1,0.7118,3
S0010,Linux,0.0029,0.0743,2,0.7118,3
S0010,Tableau,0.0008,0.0393,1,0.7118,3
S0010,Power BI,0.0,0.0,0,0.7118,3
S0010,Excel,0.0002,0.0104,1,0.7118,3
S0010,Communication,0.0015,0.0653,1,0.7118,3
S0010,Leadership,0.0002,0.0104,1,0.7118,3
S0011,Python,0.0173,0.8653,1,0.0669,4
S0011,Java,0.0278,0.6486,4,0.0669,4
S0011,C,0.0293,0.8653,4,0.0669,4
S0011,JavaScript,0.0373,0.8487,3,0.0669,4
S0011,TypeScript,0.0168,0.8137,2,0.0669,4
S0011,SQL,0.0525,0.8653,5,0.0669,4
S0011,React,0.0506,0.8653,4,0.0669,4
S0011,Angular,0.0,0.0006,0,0.0669,4
S0011,Node.js,0.0393,0.8653,5,0.0669,4
S0011,Django,0.0519,0.8137,5,0.0669,4
S0011,Flask,0.0196,0.8653,2,0.0669,4
S0011,Spring Boot,0.0055,0.1373,2,0.0669,4
S0011,TensorFlow,0.0353,0.8137,3,0.0669,4
S0011,PyTorch,0.0,0.0004,0,0.0669,4
S0011,Scikit-learn,0.0249,0.8487,3,0.0669,4
S0011,Pandas,0.0403,0.8656,4,0.0669,4
S0011,NumPy,0.0163,0.8137,1,0.0669,4
S0011,AWS,0.0245,0.8653,2,0.0669,4
S0011,Azure,0.0191,0.8137,2,0.0669,4
S0011,GCP,0.0038,0.1894,1,0.0669,4
S0011,Docker,0.004,0.2001,1,0.0669,4
S0011,Kubernetes,0.0005,0.0226,1,0.0669,4
S0011,Git,0.029,0.8487,4,0.0669,4
S0011,MongoDB,0.004,0.2001,1,0.0669,4
S0011,PostgreSQL,0.0,0.0005,0,0.0669,4
S0011,MySQL,0.008,0.2001,2,0.0669,4
S0011,Redis,0.017,0.8487,1,0.0669,4
S0011,HTML/CSS,0.0,0.0004,0,0.0669,4
S0011,REST APIs,0.0,0.0004,0,0.0669,4
S0011,Linux,0.0047,0.2001,2,0.0669,4
S0011,Tableau,0.0038,0.1894,1,0.0669,4
S0011,Power BI,0.0,0.0,0,0.0669,4
S0011,Excel,0.0344,0.8487,3,0.0669,4
S0011,Communication,0.0,0.0002,0,0.0669,4
S0012,Python,0.0132,0.6604,1,0.0299,3
S0012,Java,0.0209,0.6604,2,0.0299,3
S0012,C,0.0148,0.6604,2,0.0299,3
S0012,C++,0.0335,0.59,5,0.0299,3
S0012,JavaScript,0.0009,0.0228,2,0.0299,3
S0012,TypeScript,0.0122,0.59,2,0.0299,3
S0012,SQL,0.0,0.0002,0,0.0299,3
S0012,React,0.0132,0.6604,1,0.0299,3
S0012,Angular,0.0092,0.4576,1,0.0299,3
S0012,Node.js,0.025,0.6604,2,0.0299,3
S0012,Django,0.0048,0.1596,2,0.0299,3
S0012,Flask,0.0282,0.6604,3,0.0299,3
S0012,Spring Boot,0.0,0.0,0,0.0299,3
S0012,TensorFlow,0.0005,0.0228,1,0.0299,3
S0012,PyTorch,0.0,0.0002,0,0.0299,3
S0012,Scikit-learn,0.0124,0.4576,2,0.0299,3
S0012,Pandas,0.0017,0.081,1,0.0299,3
S0012,NumPy,0.0,0.0002,0,0.0299,3
