company_id,company_name,tier,pool_pass_rate,gender_disparity,gender_p_value,gender_flagged,dept_disparity,dept_p_value,dept_flagged,cgpa_gender_disparity,backlog_gender_disparity,dept_filter_disparity
CO001,Google India,Tier1,0.055,0.0,1.0,False,0.1529,0.0,True,0,0,0
CO002,Microsoft India,Tier1,0.0708,0.0,1.0,False,0.1538,0.0,True,0,0,0
CO003,Amazon Development Center,Tier1,0.085,0.0,1.0,False,0.1529,0.000598,True,0,0,0
CO004,Goldman Sachs,Tier1,0.065,0.0,1.0,False,0.1412,0.000657,True,0,0,0
CO005,Adobe Systems,Tier1,0.0475,0.0,1.0,False,0.1443,0.0,True,0,0,0
CO006,Oracle India,Tier1,0.0583,0.0,1.0,False,0.0932,0.0,False,0,0,0
CO007,Salesforce India,Tier1,0.055,0.0,1.0,False,0.1546,0.0,True,0,0,0
CO008,JPMorgan Chase,Tier1,0.0558,0.0,1.0,False,0.1412,0.0,True,0,0,0
CO009,Apple India,Tier1,0.065,0.0,1.0,False,0.0842,0.001063,False,0,0,0
CO010,Meta Platforms,Tier1,0.04,0.0,1.0,False,0.0928,2.1e-05,False,0,0,0
CO011,Infosys,Tier2,0.17,0.0,1.0,False,0.2824,0.00039,True,0,0,0
CO012,TCS,Tier2,0.1192,0.0,1.0,False,0.2706,0.0,True,0,0,0
CO013,Wipro,Tier2,0.1417,0.0,1.0,False,0.2706,0.0,True,0,0,0
CO014,HCL Technologies,Tier2,0.1375,0.0,1.0,False,0.2588,0.0,True,0,0,0
CO015,Cognizant,Tier2,0.1867,0.0,1.0,False,0.2824,1.8e-05,True,0,0,0
CO016,Tech Mahindra,Tier2,0.1442,0.0,1.0,False,0.2588,0.0,True,0,0,0
CO017,Capgemini,Tier2,0.1733,0.0,1.0,False,0.2706,0.001381,True,0,0,0
CO018,Accenture,Tier2,0.1383,0.0,1.0,False,0.2706,0.0,True,0,0,0
CO019,L&T Infotech,Tier2,0.125,0.0,1.0,False,0.2268,0.0,True,0,0,0
CO020,Mindtree,Tier2,0.215,0.0,1.0,False,0.4706,0.0,True,0,0,0
CO021,Zoho Corporation,Tier2,0.1025,0.0,1.0,False,0.1856,0.0,True,0,0,0
CO022,Freshworks,Tier2,0.115,0.0,1.0,False,0.1959,0.0,True,0,0,0
CO023,Razorpay,Tier2,0.1975,0.0,1.0,False,0.5052,0.0,True,0,0,0
CO024,PhonePe,Tier2,0.365,0.0,1.0,False,0.4575,0.0,True,0,0,0
CO025,Flipkart,Tier2,0.0958,0.0,1.0,False,0.1856,0.0,True,0,0,0
CO026,Mphasis,Tier2,0.1617,0.0,1.0,False,0.2471,0.001034,True,0,0,0
CO027,KPMG India,Tier2,0.1475,0.0,1.0,False,0.2471,0.0,True,0,0,0
CO028,Deloitte India,Tier2,0.1783,0.0,1.0,False,0.2824,0.0,True,0,0,0
CO029,EY India,Tier2,0.1267,0.0,1.0,False,0.2824,0.0,True,0,0,0
CO030,PwC India,Tier2,0.1633,0.0,1.0,False,0.2824,0.0,True,0,0,0
CO031,DataSolve Analytics,Tier3,0.8933,0.0,1.0,False,0.0906,0.062772,False,0,0,0
CO032,CloudNine Solutions,Tier3,0.75,0.0,1.0,False,0.8471,0.0,True,0,0,0
CO033,WebCraft Studios,Tier3,0.8733,0.0,1.0,False,0.0374,0.896544,False,0,0,0
CO034,AlphaSoft Technologies,Tier3,0.4625,0.0,1.0,False,0.9615,0.0,True,0,0,0
CO035,ByteWorks Systems,Tier3,0.7175,0.0,1.0,False,0.1109,0.186102,False,0,0,0
CO036,NexGen Software,Tier3,0.8717,0.0,1.0,False,0.9647,0.0,True,0,0,0
CO037,PixelPerfect Design,Tier3,0.6942,0.0,1.0,False,0.8,0.0,True,0,0,0
CO038,CodeBase Solutions,Tier3,0.1767,0.0,1.0,False,0.3176,0.0,True,0,0,0
CO039,TechVista Global,Tier3,0.5408,0.0,1.0,False,0.8118,0.0,True,0,0,0
CO040,SmartBuild Software,Tier3,0.2283,0.0,1.0,False,0.1253,0.323727,False,0,0,0
CO041,DigiCraft IT,Tier3,0.2117,0.0,1.0,False,0.3176,0.000702,True,0,0,0
CO042,SoftStack India,Tier3,0.6525,0.0,1.0,False,0.1645,0.030881,True,0,0,0
CO043,AppForge Technologies,Tier3,0.8492,0.0,1.0,False,0.9615,0.0,True,0,0,0
CO044,NetGenius Solutions,Tier3,0.2083,0.0,1.0,False,0.3176,0.0,True,0,0,0
CO045,InnovateTech,Tier3,0.2383,0.0,1.0,False,0.3176,0.000923,True,0,0,0
CO046,CyberPulse,Tier3,0.6808,0.0,1.0,False,0.7765,0.0,True,0,0,0
CO047,DataDriven Co,Tier3,0.2025,0.0,1.0,False,0.3059,4e-06,True,0,0,0
CO048,CloudFirst India,Tier3,0.715,0.0,1.0,False,0.1859,0.008648,True,0,0,0
CO049,UrbanTech Solutions,Tier3,0.22,0.0,1.0,False,0.3176,1e-06,True,0,0,0
CO050,GreenCode Systems,Tier3,0.69,0.0,1.0,False,0.8588,0.0,True,0,0,0
TFJ001,Tata Consultancy Services,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ002,Google,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFJ003,Infosys,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ004,Microsoft,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFJ005,Amazon,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFJ006,Wipro,Tier2,0.1925,0.0,1.0,False,0.3059,0.0,True,0,0,0
TFJ007,Adobe,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ008,Flipkart,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ009,Paytm,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFJ010,Ola,Tier2,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ011,Cognizant,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ012,Capgemini,Tier2,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFJ013,Mindtree,Tier2,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
